,GISJOIN,cluster_id,distance,is_parent,frac_distance,sample_percent
37,G0100750,29,31.366883116883173,0.0,0.6422709538544344,0.17845419077088692
38,G0100770,54,39.15384615384619,0.0,0.28376068376068425,0.10675213675213685
39,G0100790,41,0.22000000000025466,1.0,0.0,0.05
40,G0100810,33,45.66666666666697,0.0,0.27973568281938616,0.10594713656387723
41,G0100830,0,71.05797101449275,0.0,0.5438035408338092,0.15876070816676185
42,G0100850,29,39.36688311688317,0.0,0.808018296784611,0.2116036593569222
43,G0100870,51,16.8326180257518,0.0,0.3471924177396583,0.11943848354793167
44,G0100890,34,43.07142857142844,0.0,0.15853658536585366,0.08170731707317073
45,G0100910,51,26.1673819742482,0.0,0.5416666666666666,0.15833333333333333
46,G0100930,55,19.3793103448279,0.0,0.2525206232813953,0.10050412465627906
47,G0100970,32,227.94999999999982,0.0,0.6711409395973146,0.18422818791946294
48,G0100990,29,3.366883116883173,0.0,0.06215525359881623,0.06243105071976325
49,G0101010,8,10.535714285714675,0.0,0.022321428571431438,0.05446428571428629
50,G0101030,22,26.73913043478251,0.0,0.15825006751282622,0.08165001350256525
51,G0101050,48,44.77093596059058,0.0,0.8319072591774738,0.2163814518354948
52,G0101070,5,5.7437185929652514,0.0,0.11317234946628156,0.07263446989325631
53,G0101090,41,12.220000000000255,0.0,0.2014775016789809,0.09029550033579618
54,G0101110,29,10.366883116883173,0.0,0.2071841786627208,0.09143683573254416
55,G0101130,24,53.49479166666629,0.0,0.5,0.15000000000000002
56,G0101150,33,104.33333333333303,0.0,0.667400881057266,0.18348017621145324
57,G0101170,26,52.93939393939354,0.0,0.2123646099549682,0.09247292199099365
58,G0101190,48,12.770935960590577,0.0,0.23424418069738037,0.09684883613947608
59,G0101210,28,12.954545454545496,0.0,0.13533057851239763,0.07706611570247954
60,G0101230,41,50.779999999999745,0.0,0.8488918737407644,0.21977837474815287
61,G0101250,22,134.2608695652175,0.0,0.8260869565217391,0.21521739130434786
62,G0101270,28,79.9545454545455,0.0,0.896694214876034,0.2293388429752068
63,G0101290,48,1.2290640394094225,0.0,0.018676971202502918,0.053735394240500584
64,G0101310,29,29.366883116883173,0.0,0.6008341181218902,0.17016682362437807
65,G0101330,5,15.743718592965251,0.0,0.31941133796249516,0.11388226759249903
66,G0200130,15,43.9621212121217,0.0,0.2615717765947891,0.10231435531895783
67,G0200160,48,16.770935960590577,0.0,0.30895206550739207,0.11179041310147841
68,G0200200,45,50.53333333333285,0.0,0.10370370370369998,0.07074074074074
69,G0200500,5,31.74371859296525,0.0,0.6493937195564369,0.1798787439112874
70,G0200680,15,43.9621212121217,0.0,0.2615717765947891,0.10231435531895783
71,G0200700,15,32.9621212121217,0.0,0.19606604709916556,0.08921320941983311
72,G0200900,28,37.045454545454504,0.0,0.4090909090909091,0.13181818181818183
73,G0201000,15,62.9621212121217,0.0,0.3747180366326843,0.12494360732653687
74,G0201100,29,6.633116883116827,0.0,0.12982644961657272,0.07596528992331456
75,G0201300,15,3.9621212121217013,0.0,0.023369123883430754,0.054673824776686156
76,G0201500,48,15.229064039409423,0.0,0.28015456803754374,0.10603091360750876
77,G0201700,0,60.05797101449275,0.0,0.4571102227298686,0.14142204454597374
78,G0201850,48,45.22906403940942,0.0,0.8404637041126313,0.21809274082252628
79,G0201880,15,51.0378787878783,0.0,0.3037083822069819,0.11074167644139638
80,G0201950,15,22.9621212121217,0.0,0.13651538392132598,0.0773030767842652
81,G0201980,15,47.9621212121217,0.0,0.28539204186592493,0.107078408373185
82,G0202200,15,14.962121212121701,0.0,0.0888748533790543,0.06777497067581087
83,G0202300,15,59.9621212121217,0.0,0.35685283767933246,0.1213705675358665
84,G0202400,48,28.770935960590577,0.0,0.5330757199374271,0.15661514398748544
85,G0202610,15,47.0378787878783,0.0,0.2798881169358461,0.10597762338716922
86,G0202750,15,58.9621212121217,0.0,0.3508977713615485,0.1201795542723097
87,G0202900,15,2.0378787878782987,0.0,0.011910132635567918,0.05238202652711359
88,G0400010,22,64.73913043478251,0.0,0.3942749122333231,0.12885498244666463
89,G0400030,22,105.73913043478251,0.0,0.6489332973264909,0.1797866594652982
90,G0400050,26,23.06060606060646,0.0,0.09236947791164658,0.06847389558232932
91,G0400070,55,75.6206896551721,0.0,1.0,0.25
92,G0400090,28,51.954545454545496,0.0,0.5785123966942158,0.1657024793388432
93,G0400110,15,12.037878787878299,0.0,0.0714607958134075,0.06429215916268151
94,G0400120,41,9.779999999999745,0.0,0.1605104096709129,0.08210208193418259
95,G0400130,1,557.5,1.0,0.0,0.05
96,G0400150,45,206.46666666666715,0.0,0.7011494252873564,0.1902298850574713
97,G0400170,33,141.66666666666697,0.0,0.9140969162995598,0.23281938325991197
98,G0400190,53,82.5,0.0,0.5683453237410072,0.16366906474820145
99,G0400210,52,44.0,0.0,0.15444015444015444,0.0808880308880309
100,G0400230,0,11.94202898550725,0.0,0.07789834380354088,0.06557966876070818
101,G0400250,22,148.7391304347825,0.0,0.9160140426681057,0.23320280853362113
102,G0400270,34,203.92857142857156,0.0,0.8124274099883867,0.21248548199767736
103,G0500010,5,11.743718592965251,0.0,0.2369157425640097,0.09738314851280194
104,G0500030,41,24.220000000000255,0.0,0.4029550033579618,0.13059100067159235
105,G0500050,51,38.1673819742482,0.0,0.7916666666666666,0.20833333333333331
106,G0500070,27,160.07692307692287,0.0,0.6145454545454535,0.1729090909090907
107,G0500090,55,61.3793103448279,0.0,0.8107241063244797,0.21214482126489592
108,G0500110,29,23.366883116883173,0.0,0.4765236109242578,0.14530472218485158
109,G0500130,15,3.0378787878782987,0.0,0.017865198953351875,0.05357303979067038
110,G0500150,41,17.779999999999745,0.0,0.29482874412356685,0.10896574882471338
111,G0500170,29,44.36688311688317,0.0,0.9116103861159714,0.2323220772231943
112,G0500190,51,3.832618025751799,0.0,0.07635908440632495,0.06527181688126499
113,G0500210,51,16.8326180257518,0.0,0.3471924177396583,0.11943848354793167
114,G0500230,51,22.8326180257518,0.0,0.4721924177396583,0.14443848354793165
115,G0500250,48,2.7709359605905775,0.0,0.047474468672351194,0.05949489373447024
116,G0500270,29,2.366883116883173,0.0,0.041436835732544156,0.05828736714650883
117,G0500290,55,53.3793103448279,0.0,0.7043996333638922,0.19087992667277848
118,G0500310,22,122.26086956521749,0.0,0.7515527950310559,0.2003105590062112
