GISJOIN,Time
G3900930,4.039233192102984
G0800870,6.982159293955192
G5600290,17.529511940199882
G4100370,33.195935958996415
G0600070,7.063967147143558
G1600150,8.58232136699371
G0801090,9.688202647026628
G4600930,11.071614293847233
G0800010,5.869698032969609
G3000710,15.683608300052583
G3700410,3.1762565469834954
G1900750,3.8662358650472015
G3800310,4.8552465790417045
G4500070,4.056277779163793
G3900050,3.050780239980668
G5100710,2.9194330470636487
G2200350,3.081714668078348
G0600690,7.504102753009647
G4601170,6.281019336078316
G3100210,3.515719168819487
G4900450,28.796841177158058
G5500290,3.879366867011413
G1200670,3.283678686944768
G4802090,3.253327920101583
G4800710,3.28638688987121
G3500060,14.760386215988547
G0100890,4.319702611770481
G1700210,4.616517710033804
G1301850,3.1906466451473534
G5400870,3.5010459451004863
G2500230,4.48635843093507
G2601390,3.669500668067485
G3700110,3.0550881910603493
G0501190,4.316284529864788
G0101270,3.9746633518952876
G0600790,14.245417893864214
G2600730,3.894668998895213
G1600430,8.753362711053342
G1701470,3.7283809760119766
G0101130,3.4982984829694033
G0600270,31.35201331716962
G4001130,6.005985408090055
G3800470,4.864530654856935
G2600330,6.62925968086347
G0500150,3.5698597789742053
G4200890,4.751646698918194
G1700370,4.423652201890945
G1700470,3.4757360939402133
G0500930,4.1248387028463185
G5600070,26.088487945031375
G2200470,3.4505677418783307
G2601510,5.36310259392485
G1600490,38.15818265499547
G3200070,74.8397571798414
G2700110,3.1379936181474477
G3101150,3.758426021086052
G0800370,5.168011367088184
G5400750,3.9981085509061813
G4200150,5.016136334976181
G5600050,14.44546548789367
G1600210,6.267357517965138
G0600990,7.213991642929614
G1200970,5.219060133909807
G0600890,15.431680952897295
G1201230,4.915675751166418
G3101110,9.440680394880474
G3200170,42.00628655287437
G5500710,3.8497368909884244
G0400030,22.341623584972695
G4200310,4.28383222501725
G3600090,5.922453893814236
G1201270,5.39452676102519
G4200350,4.326196440029889
G1901870,4.678630942013115
G4700350,3.915518717840314
G0400230,6.881836985936388
G2000710,4.691426842007786
G2600070,3.729531826917082
G4802290,15.033742928178981
G3500390,24.45699910609983
G0600190,20.171697750221938
G0600710,74.68949549691752
G3900350,3.4051807599607855
G5000210,4.261460120091215
G0800750,6.743517348077148
G5300210,6.48412367887795
G5600350,15.68185185501352
G1600350,10.138375539099798
G0600450,14.523302051937208
G5500050,5.952233432093635
G4600090,3.7342937290668488
G1800870,3.467561551136896
G0201980,15.853514493908733
G2001870,3.0913254460319877
G4601210,4.773827152093872
G1302250,2.231376913143322
G2700410,3.3173177039716393
G3500590,11.914384474046528
G3500530,24.94009071099572
G4804650,9.321890204912052
