GISJOIN,Time
G1200310016000,6.142463716911152
G2700750370100,7.877125462051481
G3400130023200,4.731668983120471
G4801410003602,6.425565306097269
G5100590420800,5.148965653963387
G2800330071120,5.709833462024108
G2800810980000,4.793160525849089
G0600730019101,8.424598888959736
G5300610053700,5.79903087601997
G1901770950200,6.976185286883265
G3001110000402,5.349008525023237
G4601030011400,8.04102363716811
G2601610410800,4.571306134108454
G5300530060200,8.72574711497873
G1302450010508,7.249513044953346
G3300090961800,5.4704936349298805
G1200110070602,4.487882386893034
G0400010944000,4.462623947067186
G0800010015000,12.161362666869536
G3200030003253,4.595788326114416
G4600990000500,6.389501533936709
G4200490000600,9.593249089084566
G4700370012100,9.574940657010302
G4201250783200,8.867331421934068
G4804530001765,6.793161474866793
G3000870940400,8.431148370029405
G0600270000800,7.467906726989895
G3600610020901,4.3261829051189125
G5300110040102,7.33025486394763
G0600790012502,13.467497275909409
G1200470960300,9.804596811998636
G4801490970700,6.819039540831
G4800290141900,6.187663060845807
G2500050640200,7.119110543048009
G1200950015901,9.922470706980675
G0600650031401,4.034325662069023
G4801350001700,6.772604173980653
G2200730980000,4.248874597949907
G5300610051000,7.975299554876983
G2900470021805,6.487802344141528
G4600330965100,8.153621075907722
G3000810000201,5.880292158108205
G1901030001200,5.186286306008697
G0900030502100,4.716975260991603
G0100730010900,7.75535011687316
G0600110000200,10.92143104202114
G5400390001300,6.495582185918465
G0100730011206,5.587986825965345
G0600870120301,4.963203044142574
G3000530000200,14.170769284944981
G2700050450400,7.1030762020964175
G2601630524700,5.334515149937943
G1500010020802,8.949441214790568
G0600370206010,7.726497975876555
G5600210001402,5.58077674289234
G1200850001000,5.595564182149246
G1701570950700,4.078599804081023
G3500130001804,8.807014891179278
G1200570013604,6.714872113894671
G4100190080000,7.518934993073344
G0100730005500,9.234369911020622
G1000050050406,4.262636383064091
G2500030900100,7.625407523941249
G3700570061500,7.346331074135378
G0601110006600,4.640539604937658
G0600250010102,5.01366684702225
G4200030030500,8.865277990000322
G2500130800900,6.644769573118538
G0400270000700,6.502077492885292
G4100010950500,6.731189854908735
G4802010222200,7.125413795001805
G3000630001303,9.107316789915785
G1300890023423,8.59568989300169
G2500270731700,8.485148999840021
G0600850501000,4.491920489119366
G3701190001300,7.561082165921107
G4200030498000,9.37154005211778
G2900990700118,7.4243120909668505
G3500010004729,3.5144340300466865
G3900950004600,7.107684549875557
G0400130113300,11.048396985046566
G1200570012209,6.729566768044606
G3900810000800,4.215302536962554
G3400070610300,4.234007373917848
G4200290306503,5.590946884825826
G4001150574100,6.314380728174001
G4803610021400,7.533115444006398
G3600290006902,2.148537734989077
G0600450010700,7.390788701828569
G0600650043813,6.29595272988081
G0600810610500,6.7761618418153375
G0600790012304,6.503231127979234
G0600290005900,6.4473630310967565
G1800030003500,7.639385810121894
G0600370132300,6.374189185211435
G3600810049302,5.764673764118925
G2901890220444,4.548473424045369
G0600970153902,4.812313372036442
G2600490002200,4.376602968201041
G3400170006500,7.435532151022926
G3000490000300,5.540836275089532
G3000290000402,11.696355868130922
G3701830054015,10.12896153703332
G3200030003308,5.771632789866999
G0600970154202,4.490118607878685
G5300470970900,7.592097336892039
G4801390061000,5.862325646914542
G3701730960200,7.576585250906646
G0600970152000,4.099557084031403
G2700370060811,6.7716442320961505
G0600850512508,6.702318337047473
G1302150010402,7.792802677024156
G2201210020200,5.486245840089396
G0400190004109,2.0270237780641764
G4100390003302,7.594005180988461
G4100350971400,7.994353689951822
G0400130815100,7.546345863956958
G3200310000102,6.844621744006872
G4802450001700,4.824724100064486
G0600010409300,5.976901511894539
G0400170940301,6.509260194841772
G3701830053609,3.7411295680794865
G4200030432400,8.171856475993991
G5300530940004,5.576098524034023
G5300110041203,6.311519852140918
G3000290000203,5.488392625004053
G0601030000500,4.4084042818285525
G5300010950100,8.005342051154003
G2701370015600,5.0049540270119905
G4802010341600,6.570138822076842
G1200690030102,4.9703498259186745
G3000810000500,8.109733663965017
G1200090069901,4.7624877779744565
G1200860003004,8.557163188932464
G1301210006900,6.889147627167404
G0600550200504,7.150924731977284
G3601010962200,5.05896744504571
G2001950955800,4.205194219946861
G3900950003700,8.233534509083256
G0600870121401,6.066031299997121
G4100510000802,6.919827742036432
G0600530011302,5.5677509878296405
G3600290010600,4.890707652084529
G2100370053301,6.919949593022466
G0400130115500,9.45729990908876
G0600710000901,5.958764746086672
G4200590970700,4.06211649812758
G3600810080900,4.909647259162739
G4701410000303,3.7368200360797346
G4500410000300,4.126983848866075
G4801130010000,6.580962806008756
G4201010036700,4.654999417020008
G3100550004400,6.32142165210098
G0600850503602,4.418097462039441
G4100130950300,5.731433184817433
G5300650950300,10.240235046949238
G2101110012104,4.971843987004831
G4500190003400,12.640449120895937
G4100430020802,7.074336038902402
G3200230960405,7.734808812849224
G5600450951300,1.9384406378958374
G2800590041900,4.412617236142978
G0400130108902,8.664607221959159
G4801210020800,6.478569282917306
G0800310001600,19.568885809974745
G0400130050607,8.471394116990268
G2701410031500,7.817640329012647
G1801670000900,5.572810517158359
G5300710920600,8.08074399502948
G0601010050202,12.943927101092413
G1801270050407,9.48717971588485
G2700350950800,7.6548134128097445
G5300770940005,6.0472089720424265
G1201030022402,8.510808149818331
G0600190005100,6.577800777042285
G4600290954502,6.585896629141644
G5300770001501,7.9395755340810865
G1600410970200,5.36230409797281
G4200950017800,10.41724686184898
G3901530508301,5.705037362175062
G1300510011600,11.255853668088093
G3601030158606,5.074984568171203
G1700430846504,4.99824698199518
G1200710001000,8.053643719991669
G5300090940000,7.6571173190604895
G0600190007801,5.910623588832095
G3200310003202,5.007995445979759
G0400130110100,8.02922603301704
G1701970884004,4.865912679117173
G3200070950800,8.305557541782036
G4601270020200,6.103088029893115
G0600190006405,4.786262128036469
G2001730006300,7.5568277600687
G4100370960200,6.614680627826601
G1200590960400,6.2640732559375465
G0600750060700,8.494728237157688
G2800110950701,5.562577498843893
G3600590407700,6.038268223172054
G4700090010700,3.8409284118097275
G2001250950800,1.9960639239288867
G5300610052903,7.395498188212514
G3500310943500,4.336773055838421
G1200090061202,4.729650208959356
G3700670001902,6.374043611111119
