GISJOIN,Time
G5000030,2.3515129717998207
G5501210,2.3758138481061906
G2100750,2.058065627934411
G4100490,2.3527573889587075
G4500150,2.46649142797105
G2900510,2.231793763116002
G3700710,2.3712867500726134
G5101250,2.1724948761984706
G4803370,2.0495511209592223
G2400450,2.409440463874489
G2901810,2.1146526078227907
G5400050,2.0064775079954416
G2400150,2.3704735999926925
G5400090,2.388486531097442
G2601570,2.0302198329009116
G2902090,2.045410396065563
G4000190,2.111745137022808
G3900330,2.0938520890194923
G3200070,2.289964532945305
G4900190,2.3514726739376783
G0201500,2.4806347070261836
G2800570,2.2743246380705386
G3100190,2.6533663771115243
G1800050,2.495212667156011
G4100250,1.957868801197037
G2300250,2.2342971339821815
G3800590,2.1546027208678424
G3100430,2.3861346379853785
G2500010,2.3574333670549095
G4802030,2.023882573004812
G4802550,2.2469448200426996
G5107400,2.0575518959667534
G2800910,2.308384630130604
G3100770,2.2726821780670434
G1800510,2.1991678138729185
G4802070,2.292894372018054
G4700990,2.2653663279488683
G0101150,1.9688699538819492
G1701690,2.451590527081862
G5106000,1.9176551420241594
G4701890,2.3701697250362486
G4201090,2.185968986945227
G3901010,2.0773312009405345
G2000910,2.2192169709596783
G1701950,2.4456287908833474
G4601370,2.026262580184266
G2100710,2.319892742903903
G4200050,1.9822124131023884
G2800830,2.4605016249697655
G2600290,2.2045686861965805
G3701990,2.3399174259975553
G3200150,2.426672794856131
G5300570,2.319083580048755
G3701270,1.9869906019885093
G2600070,2.6078686099499464
G3900350,2.506139056989923
G2700210,2.181657691951841
G1700270,2.2687496670987457
G4801170,2.126926466822624
G3000210,2.2005653912201524
G2200910,2.0335462267976254
G2300210,2.0624910600017756
G5400910,1.9680970020126551
G4600950,1.9785698468331248
G2200710,2.213585070800036
G2100890,2.486062631011009
G2200470,2.0778025309555233
G2900690,2.347084647975862
G5100250,2.282886771019548
G0100450,2.3692788740154356
G2701490,2.560051580891013
G4701730,2.0883185849525034
G2100230,2.344943464966491
G2200970,2.1291080589871854
G4500030,2.285871719941497
G5400570,2.072532335994765
G3000770,2.2718332109507173
G3101210,2.3170013909693807
G3000910,2.2807916898746043
G3900630,2.140591184841469
G2801250,2.2066112810280174
G1701170,2.7401661509647965
G3000710,2.1914745839312673
G1901350,2.6293566778767854
G5101950,2.3425101339817047
G4601270,2.2676442980300635
G4800770,2.2340096381958574
G3300010,2.1469170681666583
G4800030,2.436893155099824
G2600330,2.35232295980677
G3600250,2.574474543100223
G3400090,2.189048214117065
G3900870,2.1021358019206673
G4803090,2.0997424670495093
G4701630,2.414579062955454
G1700930,2.748188554076478
G2101330,2.08098993008025
G3900550,2.2711215389426798
G5101130,2.011434368090704
G4800510,1.9357968079857528
