GISJOIN,Time
G5000030,4.328432100825012
G5501210,4.309924326138571
G2100750,4.382617068942636
G4100490,4.175402380991727
G4500150,4.125193759100512
G2900510,4.355987864779308
G3700710,4.0135548040270805
G5101250,4.072222535032779
G4803370,4.356073935050517
G2400450,4.336153436917812
G2901810,3.9477220219559968
G5400050,4.209824192104861
G2400150,4.246658475138247
G5400090,4.248779971851036
G2601570,4.850287267006934
G2902090,4.014189247041941
G4000190,4.3786653289571404
G3900330,4.115142030874267
G3200070,4.206702952040359
G4900190,4.153588016051799
G0201500,4.110296235885471
G2800570,4.387436163844541
G3100190,4.261822395026684
G1800050,4.295606763800606
G4100250,4.425268271006644
G2300250,4.615521473111585
G3800590,4.650977636920288
G3100430,4.274907879065722
G2500010,4.293826092034578
G4802030,4.2255374391097575
G4802550,4.257837119046599
G5107400,4.561732813948765
G2800910,4.988776995101944
G3100770,4.440152411116287
G1800510,4.23058249684982
G4802070,4.2626500150654465
G4700990,4.435743645066395
G0101150,4.392939593875781
G1701690,4.121950855012983
G5106000,4.186706520151347
G4701890,4.114991707960144
G4201090,4.2992941229604185
G3901010,3.8688169359229505
G2000910,4.533221215941012
G1701950,4.163976059993729
G4601370,4.0394956229720265
G2100710,4.278693309985101
G4200050,4.131350927054882
G2800830,4.187627056147903
G2600290,4.508839925052598
G3701990,4.21935644489713
G3200150,4.443441469920799
G5300570,4.049971660133451
G3701270,4.462753918021917
G2600070,4.555285406997427
G3900350,4.352535866899416
G2700210,4.153965631034225
G1700270,4.273077643010765
G4801170,4.421067691873759
G3000210,4.804792691022158
G2200910,4.194627178832889
G2300210,4.436425901949406
G5400910,4.809028316056356
G4600950,4.942229997133836
G2200710,4.250625320943072
G2100890,4.362969123991206
G2200470,4.120185991981998
G2900690,4.151746521005407
G5100250,3.9271105949301273
G0100450,4.049252826021984
G2701490,4.296662651002407
G4701730,4.1328562770504504
G2100230,4.493635623948649
G2200970,4.1140913490671664
G4500030,4.276099252980202
G5400570,4.96395509201102
G3000770,4.490595271112397
G3101210,4.523895815946162
G3000910,4.680298556108028
G3900630,4.068469919031486
G2801250,3.9754185769706964
G1701170,4.516163604101166
G3000710,4.899893807945773
G1901350,4.836712792981416
G5101950,4.201113424031064
G4601270,4.3296292528975755
G4800770,4.0723959021270275
G3300010,3.970964794047177
G4800030,4.3066606391221285
G2600330,4.029672730946913
G3600250,3.9390176478773355
G3400090,4.178362670820206
G3900870,4.3747710410971195
G4803090,4.321329949889332
G4701630,4.155984270852059
G1700930,4.2724104600492865
G2101330,4.241985057014972
G3900550,4.191265077097341
G5101130,4.420942830853164
G4800510,4.225573060801253
